Customer ID,Location,Expanded URL,Latitude,Longitude
c 114,https://maps.app.goo.gl/JxZUkjs5SB3hLx9N7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Ed%2Bn%2BCraft,%2BKannara%2BSt,%2Bnear%2BNMR%2Bbiriyani%2BHouse,%2BSanthi%2BNagar,%2BSultanpet,%2BPalakkad,%2BKerala%2B678001/data%3D!4m6!3m5!1s0x3ba86d39c2be8395:0xf2e35ef18bf6b84b!7e2!8m2!3d10.7711578!4d76.65526849999999%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGKiy7MAGIjCgfrVb5UTFuR8Y6j7gl41vCFc5aS8KWLKfaNSjKUfVELQiNJQ2-YHlHXO6PnQFsv4yAnJSWgFD",10.7711578,76.6552685
c 115,https://maps.app.goo.gl/B59bmJxpguaJFfzT7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Trueline%2BPublic%2BSchool,%2BNear%2BNH%2B47,%2BKadamkode,%2BPalakkad,%2BKerala%2B678013/data%3D!4m2!3m1!1s0x3ba86dc0efab28c7:0x519020c364c50f72%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGKyy7MAGIjAsCIzAISbYs-Om5U-BW6iTY83_kU2WW-XEiL-Bi1-e20z0V4w_mgY5o3v35RERSsYyAnJSWgFD",10.75964951,76.66884398
c 118,https://maps.app.goo.gl/VjBpaekQvoAoYGvm7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Koottupaatha,%2BPalakkad,%2BKerala%2B678007/data%3D!4m6!3m5!1s0x3ba86c39c281207f:0xe3df2d5982eafe70!7e2!8m2!3d10.763261!4d76.6998859%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGK-y7MAGIjAdV91LwlDqSKV_-oMx5acgnsOCm1qlXtkUGChMrJ6trh3_uitEqRFbT8fZkRgrxHQyAnJSWgFD",10.763261,76.6998859
c 119,https://maps.app.goo.gl/Uqf9DTYJGwaVP52d7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/QJWV%252B9W4%2BDasaradha%2Bnagar,%2Bolavacode,%2BPalakkad,%2BKerala,%2BDasaradha%2BNagar,%2BChathapuram,%2BOlavakode,%2BPalakkad,%2BKerala%2B678002/data%3D!4m2!3m1!1s0x3ba86f6f0b438b8d:0x992387972a4302d6%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGLOy7MAGIjDz41EJn6WYC6QC_uUC_ZvXQTg8ISXLpQHPWO26xhC_tSjiQ-2Y-78U1bZU0B1TZx8yAnJSWgFD",10.79590188,76.64483277
c 120,https://maps.app.goo.gl/uENZeQ6G5JvRzCRG7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Shobha%2BAjith,%2BTP%2B1,%2BThankanivas,%2BTharavannat,%2Blane,%2BVadakkanthara,%2BPalakkad,%2BKerala%2B678012/data%3D!4m6!3m5!1s0x3ba87178a6243461:0x414879ebcf88ee21!7e2!8m2!3d10.792333!4d76.6392609%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGLay7MAGIjAeXmDMPomX6hXBtWWUBbtPamGNG2OrVoMT2Am0ThJqYkUF4alEvXvl1VIqkwF1WKsyAnJSWgFD",10.792333,76.6392609
c 121,https://maps.app.goo.gl/wCKxN9QRRyMW6uvL9,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/LM%2BArchitectural%2Bdesigners,%2BRoom%2Bno:-%2B28%252F309-31%2BMadhava%2Barcade,%2BW%2BFort%2BRd,%2Bnear%2Bpalat%2Bhospital,%2BPalakkad,%2BKerala%2B678001/data%3D!4m6!3m5!1s0x3ba86de433d5e267:0x1fe795f6159d2f7a!7e2!8m2!3d10.7609135!4d76.6551683%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGLqy7MAGIjCmNrK-nsWanj9_qwmFIvBmreTrPh5y2yfkZwGN22M3Ssa6lHrDK_kknt_ft5nUmccyAnJSWgFD",10.7609135,76.6551683
c 122,https://maps.app.goo.gl/VjBpaekQvoAoYGvm7,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Koottupaatha,%2BPalakkad,%2BKerala%2B678007/data%3D!4m6!3m5!1s0x3ba86c39c281207f:0xe3df2d5982eafe70!7e2!8m2!3d10.763261!4d76.6998859%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGL6y7MAGIjA0M3LcBJYIyPcctjyJa92Yf2utM5m-RhI9iv5jJcTjAqBwH-B_1_8JPTYRZBhUkWMyAnJSWgFD",10.763261,76.6998859
c 123,https://maps.app.goo.gl/8ideqgrBaqA1tan49,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/Vinayaka%2Bcolony,%2BPalakkad,%2BKerala%2B678001/data%3D!4m6!3m5!1s0x3ba86e09b932b6c1:0xa544920acd6f9580!7e2!8m2!3d10.781042099999999!4d76.6566752%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGMGy7MAGIjA8Zkb4bgD-aXgx4XZM_8nK7mv6ue2hQR6ThZevUAHZe0wwFqb5rO0GLhpQp81pbM4yAnJSWgFD",10.7810421,76.6566752
c 124,https://maps.app.goo.gl/ZM4sTDbjLdFfqeqy8,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/QJ9C%252BF54,%2BPallikulam,%2BThirunellayi,%2BPirayiri,%2BKerala%2B678004/data%3D!4m6!3m5!1s0x3ba872184f0b9ac5:0xc273b68a1401d610!7e2!8m2!3d10.7686657!4d76.6204446%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGMOy7MAGIjBKu3XhH9T0b9cE8Dhx6FjK9cFH7aT-Ut-c84R4k3nNiUzLkOVu9sqWhYVuQAvUmbYyAnJSWgFD",10.7686657,76.6204446
c 125,https://maps.app.goo.gl/Ja6BmK5qe6Rkenk99,"https://www.google.com/sorry/index?continue=https://www.google.com/maps/place/CAINE%2BADS,%2BDaira%2BSt,%2BParakkunnam,%2BMettuppalayam,%2BSt,%2BPalakkad,%2BKerala%2B678001/data%3D!4m6!3m5!1s0x3ba86d62b749f6af:0x1ed8ee4cc09f0246!7e2!8m2!3d10.7766513!4d76.65496949999999%3Futm_source%3Dmstt_1%26entry%3Dgps%26coh%3D192189%26g_ep%3DCAESBjI1LjguMRgAINeCAypjLDk0MjIzMjk5LDk0MjE2NDEzLDk0MjEyNDk2LDk0MjA3Mzk0LDk0MjA3NTA2LDk0MjA4NTA2LDk0MjE3NTIzLDk0MjE4NjUzLDk0MjI5ODM5LDQ3MDg0MzkzLDk0MjEzMjAwQgJJTg%253D%253D&q=EhAkBQIB8CDIFXnbHr57ZXvoGMay7MAGIjB-ByGsXXclNyqt2MO9g1S1iWwrx2786RZnSDqDRGMK4LEAoAwvIHWOn-FGh8RJ5_UyAnJSWgFD",10.7766513,76.6549695
